UsageType,Cost
USE1-DataProcessing-Bytes,"$8,232.72"
USE1-DataScanned-Bytes,"$1,298.01"
CW:MetricMonitorUsage,$37.41
USE1-VendedLog-Bytes,$36.62
CW:Requests,$3.55
CW:AlarmMonitorUsage,$2.46
DashboardsUsageHour,$2.01
DashboardsUsageHour-Basic,$0.67
USW2-CW:AlarmMonitorUsage,$0.31
EU-CW:AlarmMonitorUsage,$0.11
EUC1-CW:AlarmMonitorUsage,$0.11
USE1-Logs-LiveTail,$0.07
USW2-CW:Requests,$0.03
USW2-CW:MetricMonitorUsage,$0.03
EUC1-CW:Requests,$0.02
EU-CW:Requests,$0.02
CW:GMD-Metrics,$0.01
USW2-VendedLog-Bytes,$0.00
USW2-CW:GMD-Metrics,$0.00
EUC1-CW:GMD-Metrics,$0.00
EU-CW:GMD-Metrics,$0.00
EUC1-DataProcessing-Bytes,$0.00
EU-DataProcessing-Bytes,$0.00
USW2-DataProcessing-Bytes,$0.00
USW2-TimedStorage-ByteHrs,$0.00
EUC1-TimedStorage-ByteHrs,$0.00
EU-TimedStorage-ByteHrs,$0.00
