Date,UsageType,Cost
2024-05-23,USE1-DataProcessing-Bytes,"$1,189.49"
2024-05-23,USE1-DataScanned-Bytes,$616.91
2024-05-23,CW:MetricMonitorUsage,$4.78
2024-05-23,USE1-VendedLog-Bytes,$4.50
2024-05-23,CW:Requests,$0.50
2024-05-23,CW:AlarmMonitorUsage,$0.34
2024-05-23,DashboardsUsageHour,$0.29
2024-05-23,DashboardsUsageHour-Basic,$0.10
2024-05-23,USW2-CW:AlarmMonitorUsage,$0.05
2024-05-23,EU-CW:AlarmMonitorUsage,$0.02
2024-05-23,EUC1-CW:AlarmMonitorUsage,$0.02
2024-05-23,USW2-CW:MetricMonitorUsage,$0.00
2024-05-23,USW2-CW:Requests,$0.00
2024-05-23,EU-CW:Requests,$0.00
2024-05-23,EUC1-CW:Requests,$0.00
2024-05-23,CW:GMD-Metrics,$0.00
2024-05-23,USW2-CW:GMD-Metrics,$0.00
2024-05-23,EU-CW:GMD-Metrics,$0.00
2024-05-23,EUC1-CW:GMD-Metrics,$0.00
2024-05-23,USW2-VendedLog-Bytes,$0.00
2024-05-23,EUC1-DataProcessing-Bytes,$0.00
2024-05-23,EU-DataProcessing-Bytes,$0.00
2024-05-23,USW2-DataProcessing-Bytes,$0.00
2024-05-23,USW2-TimedStorage-ByteHrs,$0.00
2024-05-23,EUC1-TimedStorage-ByteHrs,$0.00
2024-05-23,EU-TimedStorage-ByteHrs,$0.00
2024-05-24,USE1-DataProcessing-Bytes,"$1,320.38"
2024-05-24,USE1-VendedLog-Bytes,$4.57
2024-05-24,USE1-DataScanned-Bytes,$4.04
2024-05-24,CW:MetricMonitorUsage,$2.44
2024-05-24,CW:Requests,$0.37
2024-05-24,CW:AlarmMonitorUsage,$0.30
2024-05-24,DashboardsUsageHour,$0.29
2024-05-24,DashboardsUsageHour-Basic,$0.10
2024-05-24,USW2-CW:AlarmMonitorUsage,$0.05
2024-05-24,EU-CW:AlarmMonitorUsage,$0.02
2024-05-24,EUC1-CW:AlarmMonitorUsage,$0.02
2024-05-24,USW2-CW:Requests,$0.00
2024-05-24,USW2-CW:MetricMonitorUsage,$0.00
2024-05-24,EU-CW:Requests,$0.00
2024-05-24,EUC1-CW:Requests,$0.00
2024-05-24,USW2-VendedLog-Bytes,$0.00
2024-05-24,EUC1-DataProcessing-Bytes,$0.00
2024-05-24,EU-DataProcessing-Bytes,$0.00
2024-05-24,USW2-DataProcessing-Bytes,$0.00
2024-05-24,USW2-TimedStorage-ByteHrs,$0.00
2024-05-24,EUC1-TimedStorage-ByteHrs,$0.00
2024-05-24,EU-TimedStorage-ByteHrs,$0.00
2024-05-25,USE1-DataProcessing-Bytes,"$1,092.36"
2024-05-25,USE1-VendedLog-Bytes,$4.08
2024-05-25,CW:MetricMonitorUsage,$2.56
2024-05-25,CW:Requests,$0.39
2024-05-25,CW:AlarmMonitorUsage,$0.30
2024-05-25,DashboardsUsageHour,$0.29
2024-05-25,DashboardsUsageHour-Basic,$0.10
2024-05-25,USW2-CW:AlarmMonitorUsage,$0.05
2024-05-25,EU-CW:AlarmMonitorUsage,$0.02
2024-05-25,EUC1-CW:AlarmMonitorUsage,$0.02
2024-05-25,USW2-CW:Requests,$0.00
2024-05-25,USW2-CW:MetricMonitorUsage,$0.00
2024-05-25,EU-CW:Requests,$0.00
2024-05-25,EUC1-CW:Requests,$0.00
2024-05-25,CW:GMD-Metrics,$0.00
2024-05-25,USW2-CW:GMD-Metrics,$0.00
2024-05-25,EU-CW:GMD-Metrics,$0.00
2024-05-25,EUC1-CW:GMD-Metrics,$0.00
2024-05-25,USW2-VendedLog-Bytes,$0.00
2024-05-25,EUC1-DataProcessing-Bytes,$0.00
2024-05-25,EU-DataProcessing-Bytes,$0.00
2024-05-25,USW2-DataProcessing-Bytes,$0.00
2024-05-25,USW2-TimedStorage-ByteHrs,$0.00
2024-05-25,EUC1-TimedStorage-ByteHrs,$0.00
2024-05-25,EU-TimedStorage-ByteHrs,$0.00
2024-05-26,USE1-DataProcessing-Bytes,"$1,094.74"
2024-05-26,USE1-VendedLog-Bytes,$4.21
2024-05-26,CW:MetricMonitorUsage,$2.56
2024-05-26,CW:Requests,$0.38
2024-05-26,CW:AlarmMonitorUsage,$0.30
2024-05-26,DashboardsUsageHour,$0.29
2024-05-26,DashboardsUsageHour-Basic,$0.10
2024-05-26,USW2-CW:AlarmMonitorUsage,$0.05
2024-05-26,EU-CW:AlarmMonitorUsage,$0.02
2024-05-26,EUC1-CW:AlarmMonitorUsage,$0.02
2024-05-26,USW2-CW:Requests,$0.00
2024-05-26,USW2-CW:MetricMonitorUsage,$0.00
2024-05-26,EU-CW:Requests,$0.00
2024-05-26,EUC1-CW:Requests,$0.00
2024-05-26,USW2-VendedLog-Bytes,$0.00
2024-05-26,EUC1-DataProcessing-Bytes,$0.00
2024-05-26,EU-DataProcessing-Bytes,$0.00
2024-05-26,USW2-DataProcessing-Bytes,$0.00
2024-05-26,USW2-TimedStorage-ByteHrs,$0.00
2024-05-26,EUC1-TimedStorage-ByteHrs,$0.00
2024-05-26,EU-TimedStorage-ByteHrs,$0.00
2024-05-27,USE1-DataProcessing-Bytes,"$1,088.55"
2024-05-27,USE1-VendedLog-Bytes,$4.34
2024-05-27,CW:MetricMonitorUsage,$2.56
2024-05-27,CW:Requests,$0.39
2024-05-27,CW:AlarmMonitorUsage,$0.30
2024-05-27,DashboardsUsageHour,$0.29
2024-05-27,DashboardsUsageHour-Basic,$0.10
2024-05-27,USW2-CW:AlarmMonitorUsage,$0.05
2024-05-27,EU-CW:AlarmMonitorUsage,$0.02
2024-05-27,EUC1-CW:AlarmMonitorUsage,$0.02
2024-05-27,USW2-CW:Requests,$0.01
2024-05-27,USW2-CW:MetricMonitorUsage,$0.00
2024-05-27,EU-CW:Requests,$0.00
2024-05-27,EUC1-CW:Requests,$0.00
2024-05-27,CW:GMD-Metrics,$0.00
2024-05-27,USW2-CW:GMD-Metrics,$0.00
2024-05-27,EU-CW:GMD-Metrics,$0.00
2024-05-27,EUC1-CW:GMD-Metrics,$0.00
2024-05-27,USW2-VendedLog-Bytes,$0.00
2024-05-27,EUC1-DataProcessing-Bytes,$0.00
2024-05-27,EU-DataProcessing-Bytes,$0.00
2024-05-27,USW2-DataProcessing-Bytes,$0.00
2024-05-27,USW2-TimedStorage-ByteHrs,$0.00
2024-05-27,EUC1-TimedStorage-ByteHrs,$0.00
2024-05-27,EU-TimedStorage-ByteHrs,$0.00
2024-05-28,USE1-DataProcessing-Bytes,"$1,084.15"
2024-05-28,USE1-VendedLog-Bytes,$4.68
2024-05-28,CW:MetricMonitorUsage,$2.57
2024-05-28,USE1-DataScanned-Bytes,$0.59
2024-05-28,CW:Requests,$0.38
2024-05-28,CW:AlarmMonitorUsage,$0.30
2024-05-28,DashboardsUsageHour,$0.29
2024-05-28,DashboardsUsageHour-Basic,$0.10
2024-05-28,USW2-CW:AlarmMonitorUsage,$0.05
2024-05-28,EU-CW:AlarmMonitorUsage,$0.02
2024-05-28,EUC1-CW:AlarmMonitorUsage,$0.02
2024-05-28,USW2-CW:MetricMonitorUsage,$0.00
2024-05-28,USW2-CW:Requests,$0.00
2024-05-28,EU-CW:Requests,$0.00
