Date,UsageType,Cost
2024-05-27,USE1-DataProcessing-Bytes,1088.5502654808
2024-05-27,USE1-VendedLog-Bytes,4.1413458687
2024-05-27,CW:MetricMonitorUsage,2.5109867294
2024-05-27,CW:Requests,0.3863403204
2024-05-27,CW:AlarmMonitorUsage,0.2999592816
2024-05-27,DashboardsUsageHour,0.2903225832
2024-05-27,DashboardsUsageHour-Basic,0.0965908584
2024-05-27,USW2-CW:AlarmMonitorUsage,0.0451612896
2024-05-27,EU-CW:AlarmMonitorUsage,0.016129032
2024-05-27,EUC1-CW:AlarmMonitorUsage,0.016129032
2024-05-27,USW2-CW:Requests,0.00508
2024-05-27,USW2-CW:MetricMonitorUsage,0.0041681413
2024-05-27,EU-CW:Requests,0.00342
2024-05-27,EUC1-CW:Requests,0.00342
2024-05-27,CW:GMD-Metrics,0.00212
2024-05-27,USW2-CW:GMD-Metrics,0.0006
2024-05-27,EU-CW:GMD-Metrics,0.00058
2024-05-27,EUC1-CW:GMD-Metrics,0.00058
2024-05-27,USW2-VendedLog-Bytes,0.0003883336
2024-05-27,EUC1-DataProcessing-Bytes,0.0002367742
2024-05-27,EU-DataProcessing-Bytes,0.0002140656
2024-05-27,USW2-DataProcessing-Bytes,0.0001877784
2024-05-27,USW2-TimedStorage-ByteHrs,1.80726e-05
2024-05-27,EUC1-TimedStorage-ByteHrs,1.00889e-05
2024-05-27,EU-TimedStorage-ByteHrs,9.3813e-06
2024-05-28,USE1-DataProcessing-Bytes,1084.149816067
2024-05-28,USE1-VendedLog-Bytes,4.4622614179
2024-05-28,CW:MetricMonitorUsage,2.5274483395
2024-05-28,USE1-DataScanned-Bytes,0.5885153431
2024-05-28,CW:Requests,0.375217221
2024-05-28,CW:AlarmMonitorUsage,0.2999592816
2024-05-28,DashboardsUsageHour,0.2903225832
2024-05-28,DashboardsUsageHour-Basic,0.0965908584
2024-05-28,USW2-CW:AlarmMonitorUsage,0.0451612896
2024-05-28,EU-CW:AlarmMonitorUsage,0.016129032
2024-05-28,EUC1-CW:AlarmMonitorUsage,0.016129032
2024-05-28,USW2-CW:MetricMonitorUsage,0.0047365242
2024-05-28,USW2-CW:Requests,0.0036
2024-05-28,EU-CW:Requests,0.00238
2024-05-28,EUC1-CW:Requests,0.00238
2024-05-28,CW:GMD-Metrics,0.00212
2024-05-28,USW2-CW:GMD-Metrics,0.0006
2024-05-28,EU-CW:GMD-Metrics,0.00058
2024-05-28,EUC1-CW:GMD-Metrics,0.00058
2024-05-28,USW2-VendedLog-Bytes,0.0003902078
2024-05-28,EUC1-DataProcessing-Bytes,0.0002366616
2024-05-28,EU-DataProcessing-Bytes,0.0002144404
2024-05-28,USW2-DataProcessing-Bytes,0.0001878664
2024-05-28,USW2-TimedStorage-ByteHrs,1.80845e-05
2024-05-28,EUC1-TimedStorage-ByteHrs,1.00918e-05
2024-05-28,EU-TimedStorage-ByteHrs,9.3811e-06
2024-05-29,USE1-DataProcessing-Bytes,1264.5928486125
2024-05-29,USE1-VendedLog-Bytes,5.1702628076
2024-05-29,CW:MetricMonitorUsage,2.5751961044
2024-05-29,CW:Requests,0.3842915914
2024-05-29,CW:AlarmMonitorUsage,0.2999592816
2024-05-29,DashboardsUsageHour,0.2903225832
2024-05-29,DashboardsUsageHour-Basic,0.0965908584
2024-05-29,USW2-CW:AlarmMonitorUsage,0.0451612896
2024-05-29,EU-CW:AlarmMonitorUsage,0.016129032
2024-05-29,EUC1-CW:AlarmMonitorUsage,0.016129032
2024-05-29,USW2-CW:Requests,0.00484
2024-05-29,USW2-CW:MetricMonitorUsage,0.0041681413
2024-05-29,EU-CW:Requests,0.00322
2024-05-29,EUC1-CW:Requests,0.0032
2024-05-29,USW2-VendedLog-Bytes,0.0004020049
2024-05-29,EUC1-DataProcessing-Bytes,0.0002366616
2024-05-29,EU-DataProcessing-Bytes,0.0002140656
2024-05-29,USW2-DataProcessing-Bytes,0.0001878664
2024-05-29,USW2-TimedStorage-ByteHrs,1.80845e-05
2024-05-29,EUC1-TimedStorage-ByteHrs,1.00913e-05
2024-05-29,EU-TimedStorage-ByteHrs,9.3822e-06
2024-05-30,USE1-DataProcessing-Bytes,1478.4053327126
2024-05-30,USE1-VendedLog-Bytes,5.0870196156
2024-05-30,CW:MetricMonitorUsage,2.5989335647
2024-05-30,CW:Requests,0.3720491864
2024-05-30,CW:AlarmMonitorUsage,0.3011911927
2024-05-30,DashboardsUsageHour,0.2903225832
2024-05-30,DashboardsUsageHour-Basic,0.0965908584
2024-05-30,USW2-CW:AlarmMonitorUsage,0.0451612896
2024-05-30,EU-CW:AlarmMonitorUsage,0.016129032
2024-05-30,EUC1-CW:AlarmMonitorUsage,0.016129032
2024-05-30,USW2-CW:MetricMonitorUsage,0.0041681413
2024-05-30,USW2-CW:Requests,0.0026
2024-05-30,CW:GMD-Metrics,0.00212
2024-05-30,EU-CW:Requests,0.00174
2024-05-30,EUC1-CW:Requests,0.00174
2024-05-30,USW2-CW:GMD-Metrics,0.0006
2024-05-30,EU-CW:GMD-Metrics,0.00058
2024-05-30,EUC1-CW:GMD-Metrics,0.00058
2024-05-30,USW2-VendedLog-Bytes,0.0003859349
2024-05-30,EUC1-DataProcessing-Bytes,0.0002367742
2024-05-30,EU-DataProcessing-Bytes,0.0002142976
2024-05-30,USW2-DataProcessing-Bytes,0.0001877784
2024-05-30,USW2-TimedStorage-ByteHrs,1.81078e-05
2024-05-30,EUC1-TimedStorage-ByteHrs,1.00909e-05
2024-05-30,EU-TimedStorage-ByteHrs,9.382e-06
2024-05-31,USE1-DataProcessing-Bytes,1168.3910134054
2024-05-31,USE1-DataScanned-Bytes,5.613162394
2024-05-31,USE1-VendedLog-Bytes,5.0764931332
2024-05-31,CW:MetricMonitorUsage,2.317721968
2024-05-31,CW:Requests,0.3666425406
2024-05-31,CW:AlarmMonitorUsage,0.3031846488
2024-05-31,DashboardsUsageHour,0.2903225832
2024-05-31,DashboardsUsageHour-Basic,0.0965908584
2024-05-31,USW2-CW:AlarmMonitorUsage,0.0451612896
2024-05-31,EU-CW:AlarmMonitorUsage,0.016129032
2024-05-31,EUC1-CW:AlarmMonitorUsage,0.016129032
2024-05-31,USE1-Logs-LiveTail,0.0078408374
2024-05-31,USW2-CW:Requests,0.00364
2024-05-31,USW2-CW:MetricMonitorUsage,0.0035997584
2024-05-31,EU-CW:Requests,0.00222
2024-05-31,EUC1-CW:Requests,0.00222
2024-05-31,CW:GMD-Metrics,0.00214
2024-05-31,USW2-CW:GMD-Metrics,0.0006
2024-05-31,EU-CW:GMD-Metrics,0.00058
2024-05-31,EUC1-CW:GMD-Metrics,0.00058
2024-05-31,USW2-VendedLog-Bytes,0.0003827444
2024-05-31,EUC1-DataProcessing-Bytes,0.0002367742
2024-05-31,EU-DataProcessing-Bytes,0.0002140656
2024-05-31,USW2-DataProcessing-Bytes,0.0001877784
2024-05-31,USW2-TimedStorage-ByteHrs,1.81264e-05
2024-05-31,EUC1-TimedStorage-ByteHrs,1.00911e-05
2024-05-31,EU-TimedStorage-ByteHrs,9.383e-06
2024-06-01,USE1-DataProcessing-Bytes,726.8793950894
2024-06-01,USE1-VendedLog-Bytes,8.3756963251
2024-06-01,CW:MetricMonitorUsage,4.4585825751
2024-06-01,CW:Requests,0.3330010194
2024-06-01,CW:AlarmMonitorUsage,0.3127666776
2024-06-01,DashboardsUsageHour,0.3000000024
2024-06-01,DashboardsUsageHour-Basic,0.097448076
2024-06-01,USW2-CW:AlarmMonitorUsage,0.0466666656
2024-06-01,EU-CW:AlarmMonitorUsage,0.0166666656
2024-06-01,EUC1-CW:AlarmMonitorUsage,0.0166666656
2024-06-01,USW2-CW:MetricMonitorUsage,0.0082578042
2024-06-01,USW2-CW:Requests,0.00346
2024-06-01,EU-CW:Requests,0.00226
2024-06-01,EUC1-CW:Requests,0.00226
2024-06-01,USW2-VendedLog-Bytes,0.0006449466
2024-06-01,EUC1-DataProcessing-Bytes,0.000234996
2024-06-01,EU-DataProcessing-Bytes,0.0002140656
2024-06-01,USW2-DataProcessing-Bytes,0.0001878664
2024-06-01,USW2-TimedStorage-ByteHrs,1.87472e-05
2024-06-01,EUC1-TimedStorage-ByteHrs,1.01962e-05
2024-06-01,EU-TimedStorage-ByteHrs,9.6961e-06
2024-06-02,USE1-DataProcessing-Bytes,724.8779476898
2024-06-02,USE1-VendedLog-Bytes,8.6337895446
2024-06-02,CW:MetricMonitorUsage,4.4569319953
2024-06-02,CW:Requests,0.350190855
2024-06-02,CW:AlarmMonitorUsage,0.3127666776
2024-06-02,DashboardsUsageHour,0.3000000024
2024-06-02,DashboardsUsageHour-Basic,0.097448076
2024-06-02,USW2-CW:AlarmMonitorUsage,0.0466666656
2024-06-02,EU-CW:AlarmMonitorUsage,0.0166666656
2024-06-02,EUC1-CW:AlarmMonitorUsage,0.0166666656
2024-06-02,USW2-CW:MetricMonitorUsage,0.0082578042
2024-06-02,USW2-CW:Requests,0.00577
2024-06-02,EU-CW:Requests,0.00374
2024-06-02,EUC1-CW:Requests,0.00374
2024-06-02,CW:GMD-Metrics,0.00214
2024-06-02,USW2-VendedLog-Bytes,0.0006727092
2024-06-02,USW2-CW:GMD-Metrics,0.0006
2024-06-02,EU-CW:GMD-Metrics,0.00058
2024-06-02,EUC1-CW:GMD-Metrics,0.00058
2024-06-02,EUC1-DataProcessing-Bytes,0.000234996
2024-06-02,EU-DataProcessing-Bytes,0.0002140656
2024-06-02,USW2-DataProcessing-Bytes,0.0001877784
2024-06-02,USW2-TimedStorage-ByteHrs,1.87068e-05
2024-06-02,EUC1-TimedStorage-ByteHrs,1.01963e-05
2024-06-02,EU-TimedStorage-ByteHrs,9.697e-06
