UsageType,Cost
USE1-DataProcessing-Bytes,$99.70
CW:MetricMonitorUsage,$99.38
USE1-VendedLog-Bytes,$36.18
CW:AlarmMonitorUsage,$5.83
CW:Requests,$5.10
DashboardsUsageHour,$3.30
DashboardsUsageHour-Basic,$1.10
USW2-CW:AlarmMonitorUsage,$0.51
EU-CW:AlarmMonitorUsage,$0.18
EUC1-CW:AlarmMonitorUsage,$0.18
USW2-CW:Requests,$0.05
USW2-CW:MetricMonitorUsage,$0.05
EUC1-CW:Requests,$0.03
EU-CW:Requests,$0.03
CW:GMD-Metrics,$0.02
USW2-CW:GMD-Metrics,$0.01
USE1-DataScanned-Bytes,$0.01
EUC1-CW:GMD-Metrics,$0.01
EU-CW:GMD-Metrics,$0.01
USW2-VendedLog-Bytes,$0.00
EUC1-DataProcessing-Bytes,$0.00
EU-DataProcessing-Bytes,$0.00
USW2-DataProcessing-Bytes,$0.00
USW2-TimedStorage-ByteHrs,$0.00
EUC1-TimedStorage-ByteHrs,$0.00
EU-TimedStorage-ByteHrs,$0.00
