UsageType,Cost
CW:AlarmMonitorUsage,5.8341217302
CW:GMD-Metrics,0.01846
CW:MetricMonitorUsage,99.3820844934
CW:Requests,5.0987866348
DashboardsUsageHour,3.3000000264000002
DashboardsUsageHour-Basic,1.0979252328
EU-CW:AlarmMonitorUsage,0.18333332160000002
EU-CW:GMD-Metrics,0.00513
EU-CW:Requests,0.0336
EU-DataProcessing-Bytes,0.0023547004
EU-TimedStorage-ByteHrs,9.52567e-05
EUC1-CW:AlarmMonitorUsage,0.18333332160000002
EUC1-CW:GMD-Metrics,0.00513
EUC1-CW:Requests,0.03368
EUC1-DataProcessing-Bytes,0.002603047
EUC1-TimedStorage-ByteHrs,0.0001020796
USE1-DataProcessing-Bytes,99.6975200511
USE1-DataScanned-Bytes,0.0052557125
USE1-VendedLog-Bytes,36.1793299781
USW2-CW:AlarmMonitorUsage,0.5133333216
USW2-CW:GMD-Metrics,0.0053100000000000005
USW2-CW:MetricMonitorUsage,0.046933803499999996
USW2-CW:Requests,0.05045
USW2-DataProcessing-Bytes,0.0020651928
USW2-TimedStorage-ByteHrs,0.00019448380000000002
USW2-VendedLog-Bytes,0.0049890189
